,ext_ID,objID,specObjID,z,u_mag,g_mag,r_mag,i_mag,z_mag,w1mpro,w2mpro,w3mpro,w4mpro,o3_hB,n2_hA,s2_hA,o1_hA,o3_o2,ne3_o2,is_AGN,which_AGN,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,w1-w2,w1-w3,w1-w4,w2-w3,w2-w4,w3-w4
10,N_117_1,1237679321788842077,4.938297964550707e+18,0.8852962,20.00459,19.58166,19.50751,19.53318,19.2702,15.567,14.451,11.509,9.154,,,,,,,1,8,0.4229300000000009,0.4970800000000004,0.4714099999999988,0.7343900000000012,0.0741499999999995,0.04847999999999786,0.3114600000000003,-0.025670000000001636,0.2373100000000008,0.26298000000000243,1.1159999999999997,4.058,6.413,2.942,5.297000000000001,2.3550000000000004
11,N_108_37,1237679254136160897,4.938305936010009e+18,0.4489852,23.1809,21.18334,19.48958,18.76952,18.30876,14.922,14.633,12.239,9.152,0.9084752890720971,0.1133683992127739,-0.2544958677560515,-0.9959509918716178,0.6719507338753237,-0.1669699727276486,1,8,1.99756,3.691320000000001,4.411380000000001,4.872140000000002,1.693760000000001,2.413820000000001,2.8745800000000017,0.7200600000000001,1.1808200000000006,0.4607600000000005,0.2890000000000015,2.683,5.770000000000001,2.3939999999999984,5.481,3.0870000000000015
12,N_116_26,1237679253599158771,4.938313632591403e+18,1.734059,21.37496,20.85729,20.73152,20.31431,19.94267,16.977,15.419,12.418,8.972,,,,,,,1,8,0.5176700000000025,0.6434400000000018,1.0606500000000025,1.4322900000000018,0.12576999999999927,0.54298,0.9146199999999993,0.41721000000000075,0.78885,0.3716399999999993,1.5579999999999998,4.559000000000001,8.005,3.0010000000000012,6.447000000000001,3.4459999999999997
13,N_105_13,1237679322862584023,4.938314457225124e+18,0.6055481,21.09769,20.77668,20.26829,19.60829,19.53083,15.305,14.785,12.252,8.974,-0.3870332973390262,,,inf,-0.033698881577377285,-inf,1,8,0.32101000000000113,0.8293999999999997,1.4893999999999998,1.5668599999999984,0.5083899999999986,1.1683899999999987,1.2458499999999972,0.6600000000000001,0.7374599999999987,0.07745999999999853,0.5199999999999996,3.052999999999999,6.3309999999999995,2.5329999999999995,5.811,3.2780000000000005
14,N_105_19,1237679322862583916,4.938316381370472e+18,0.1399647,20.07179,18.06108,16.9669,16.52065,16.1245,13.852,13.627,12.495,9.498,-0.15147828586239215,0.24084107986487185,0.050686535301319266,-0.21890556057894744,-0.7090170403342476,-inf,1,8,2.0107099999999996,3.104890000000001,3.55114,3.947289999999999,1.0941800000000015,1.5404300000000006,1.9365799999999993,0.44624999999999915,0.8423999999999978,0.39614999999999867,0.22499999999999964,1.357000000000001,4.354000000000001,1.1320000000000014,4.129000000000001,2.997
15,N_106_37,1237679323399454952,4.938355963789072e+18,0.7354203,21.23898,20.65892,20.48246,20.42874,20.36112,15.194,14.235,11.538,8.922,,,,,,,1,8,0.5800600000000031,0.7565200000000019,0.8102400000000003,0.8778600000000019,0.17645999999999873,0.23017999999999716,0.29779999999999873,0.053719999999998436,0.12134,0.06762000000000157,0.9590000000000014,3.6560000000000006,6.272,2.696999999999999,5.312999999999999,2.6159999999999997
16,N_105_11,1237679322862518350,4.939323533920852e+18,2.306398,19.8166,19.24092,19.1127,19.22447,19.2085,15.738,14.879,12.164,8.694,,,,,,,1,8,0.575680000000002,0.7039000000000009,0.5921300000000009,0.6081000000000003,0.1282199999999989,0.016449999999998965,0.03241999999999834,-0.11176999999999992,-0.09580000000000055,0.015969999999999374,0.859,3.574,7.043999999999999,2.715,6.184999999999999,3.469999999999999
17,N_105_33,1237679254136029305,4.939325458066201e+18,0.1408282,19.30781,17.41467,16.35447,15.92578,15.55453,13.501,13.318,12.77,9.547,-inf,0.0014042192628241812,-0.07080692973173383,-0.34682862969305256,-inf,0.5014120610177815,1,8,1.893139999999999,2.9533400000000007,3.3820300000000003,3.75328,1.0602000000000018,1.4888900000000014,1.8601400000000012,0.42868999999999957,0.7999399999999994,0.37124999999999986,0.18299999999999983,0.7309999999999999,3.953999999999999,0.548,3.770999999999999,3.222999999999999
18,N_105_28,1237679254135964275,4.939327657089456e+18,1.89524,22.45816,21.92114,22.02988,21.70663,21.63112,,,,,,,,,,,1,8,0.5370199999999983,0.4282800000000009,0.7515299999999989,0.8270400000000002,-0.1087399999999974,0.21451000000000064,0.29002000000000194,0.32324999999999804,0.39875999999999934,0.0755100000000013,,,,,,
19,N_113_22,1237679253062090853,4.939336453182478e+18,2.293523,20.26435,19.34687,19.29572,19.06798,18.76937,,,,,,,,,,,1,8,0.9174800000000012,0.968630000000001,1.1963700000000017,1.4949800000000018,0.05114999999999981,0.2788900000000005,0.5775000000000006,0.22774000000000072,0.5263500000000008,0.29861000000000004,,,,,,
20,N_115_40,1237679322325582071,4.939336728060385e+18,0.291916,20.43569,18.72712,17.13874,16.55,16.23415,13.712,13.468,13.021,8.801,0.07562776130422688,0.6807241955369303,-0.37000059357012466,-0.34453011149672147,-1.083262547549571,-inf,1,8,1.7085700000000017,3.2969500000000025,3.8856900000000003,4.201540000000001,1.5883800000000008,2.1771199999999986,2.4929699999999997,0.5887399999999978,0.9045899999999989,0.3158500000000011,0.24399999999999977,0.690999999999999,4.911,0.4469999999999992,4.667,4.220000000000001
21,N_112_11,1237679253598896299,4.939339476839455e+18,0.1416699,19.41611,17.54307,16.44767,15.96986,15.62864,13.371,13.172,12.382,9.128,-0.24486231304347864,0.21693964264315477,-0.5838104414242602,-1.2545577427109857,-0.8200057116665292,-1.4723433523730913,1,8,1.8730399999999996,2.968440000000001,3.446249999999999,3.787469999999999,1.0954000000000015,1.5732099999999996,1.9144299999999994,0.47780999999999807,0.8190299999999979,0.34121999999999986,0.19899999999999984,0.9890000000000008,4.243,0.7900000000000009,4.0440000000000005,3.2539999999999996
22,N_29_7,1237679322325254728,4.939345799031314e+18,2.595139,22.6472,21.89162,22.14479,21.87494,20.68924,,,,,,,,,,,1,8,0.7555800000000019,0.5024100000000011,0.7722600000000028,1.95796,-0.2531700000000008,0.016680000000000916,1.202379999999998,0.2698500000000017,1.4555499999999988,1.185699999999997,,,,,,
